BLOOMDAY
97.0
64.0
107.0
109.0
89.0
86.0
91.0
100.0
87.0
79.0
92.0
113.0
90.0
67.0
92.0
91.0
81.0
71.0
100.0
87.0
76.0
89.0
79.0
74.0
91.0
78.0
81.0
80.0
107.0
91.0
84.0
86.0
96.0
86.0
82.0
90.0
80.0
86.0
87.0
99.0
73.0
87.0
93.0
86.0
80.0
74.0
71.0
86.0
85.0
88.0
82.0
88.0
73.0
90.0
78.0
99.0
92.0
96.0
92.0
82.0
99.0
95.0
104.0
97.0
94.0
82.0
